parent_id,comment_id,body,predict_sentiment
7iu6ov,dr1nerx,"Why do they keep saying that it's the location of Ottawa's arena that keeps them from selling out home games?! Yes, that's a small part. But mainly, the reason is that the ticket price alone is too God damned expensive! Then you add getting there, parking, and ridiculous consession stand prices. It all adds up to an immensely overpriced few hours of maybe fun. ",Negative
7iu6ov,dr1nfvi,If tax payer money goes to an arena or whatever for a major sports team. I want all the games they play to be streamed free on CBC.,Positive
7iu6ov,dr1nuud,"""Many blamed the location of Canadian Tire Centre, which is in Kanata, Ont., a considerable drive from the downtown area.""

So they want to build a whole new arena instead of, I don't know, providing a much cheaper and more economical shuttle or something of the like? That seems a bit idiotic.",Positive
7iu6ov,dr1nxpf,We should never subsidize billionaires. Ever.,Negative
7iu6ov,dr1o2f0,As with any business make them pay their own way.,Positive
dr1eis1,dr1evbq,How is that legal?,Positive
dr1eis1,dr1lzcr,Using tax dollars to generate revenue isn't helping Americans. God save the Queen Canada. ,Negative
dr1eis1,dr1lrgg,Better then going to sportsnet ,Positive
dr1iprh,dr1k8hg,The teams should be publically owned by the municipalities. ,Positive
dr1j8bu,dr1jdqv,Oh.. didn’t you know it’s because they can just go to Seattle who will pay for everything and just be grateful. /s,Negative
dr1j8bu,dr1mp5c,"Plus if the Canadian government would start allowing hentai film studios in Japan to outsource cleanup, coloring etc. work to animation studios in Alberta and Atlantic Canada they'd easily get the billion dollars in tax revenue they need. But apparently it doesn't matter if the film is about milf dickgirls with huge tits, all hentai is cp in their eyes.",Negative
dr1jvp4,dr1k8jb,"At the very least, the city should own 1/3 (or however much they invest) of the arena. So the city makes money off of other concerts and stuff that goes on there, and from the vendors within the arena. ",Positive
dr1jvp4,dr1ok21,I believe the season ticket holders are the majority shareholder for the Packers. So it can be done.,Positive
dr1f9m6,dr1fwcg,BMO Field was built mostly with public money as well.,Negative
dr1f9m6,dr1l6z3,"That deal was the best thing to happen to edmonton in a long time.

",Positive
dr1in64,dr1j7n8,"I honestly like Nenshi's offer:

* 1/3 from taxpayers 
* 1/3 from ticket sales/events/etc
* 1/3 from the sports franchise
",Positive
dr1in64,dr1l9xm,Arenas typically last 40 years though ,Negative
dr1k84b,dr1mj36,In Calgary you can get tickets to the games right now often for less than 20 dollars. We have seen multiple games for 14-20 dollars a person. I think that is a price point that many Calgarians can afford since it is 2 hours at minimum wage. Maybe they can't afford seasons tickets or to go to the games on Saturday night against a rival team but a Monday or Tuesday night game is very affordable.,Negative
dr1md3z,dr1nw6o,Taxes go up 900% to fund the team.,Positive
dr1ig5n,dr1j6ta,They are also willing to fund the new arena and complex.,Positive
dr1lucx,dr1md1b,With profit sharing or kickbacks! And everyone better get a nice Jersey every year.,Positive
dr1lzhe,dr1moft,"I can't afford 200 dollars for a game, that is why I buy the 14-20 dollar nosebleed tickets off of StubHub and other sites for weekday games. I think that 20 bucks is pretty affordable for watching a game since that is less than 2 hours at minimum wage.",Negative
dr1lzhe,dr1mo6u,"Something something trickle down economics. /s

",Negative
dr1m0f3,dr1n2jy,"So the players should be paid less and the higher-ups(owners and suits etc) should be paid more? The money has to go somewhere.

The players make what the market says they should make",Positive
dr1lpph,dr1mln0,I believe that’s hat’s how Safeco in Seattle was paid off. Hotel and rental car taxes.  Paid off early. ,Negative
dr1mh14,dr1muru,"Yes let the markets decide, don't involve the government. ",Positive
dr1nc83,dr1on93,You can get business grants. Go for it.,Positive
dr1nerx,dr1numz,The rink being out in Kanata is a huge factor.,Negative
dr1nfvi,dr1ny5p,"taxpayers pay for the NHL from pee wee on up. local rinks,olympic teams , special schools, Arenas, broacast facilities. A great game exploited by a few.  As well there are more than a few casualties of violence  extreme  sexism, etc.  ",Positive
dr1evbq,dr1fjcd,*Shrugs*,Positive
dr1evbq,dr1k110,I will make it legal.,Positive
dr1evbq,dr1lzeg,Its basically copyright infringement right?,Positive
dr1evbq,dr1o9ul,"It's copyright infringement so Sportsnet could demand they take it down or sue, but nobody is going to go to jail over a copied internet article or anything.",Negative
dr1evbq,dr1jyzf,this wouldn't happen if it wasn't for net neutrality #shakespitchfork /s,Negative
dr1evbq,dr1kvc8,I will make it legal.,Positive
dr1evbq,dr1moi5,"It isn't, it's just hard to constantly stamp out ",Negative
dr1k8hg,dr1m9i3,"no, they should just be normal businesses. But the league should not be. Be like the soccer leagues in Europe -- any team can join as long as they are good enough. As it stands, the NHL is a monopoly that leeches public money for profits.",Positive
dr1k8hg,dr1kjxz,Why should a city take on that risk? They're such poor investments that sports teams require massive subsidies from municipalities.,Negative
dr1k8hg,dr1mnwd,Let's march on the 'dome and seize the means of goal production!,Positive
dr1k8hg,dr1l7r9,">Dr_Marxist

Really makes u think",Positive
dr1k8hg,dr1o2ja,Municipally owned pro sports teams. If you thought going to sporting events was expensive now. ,Negative
dr1jdqv,dr1lcr5,San Francisco should get a team now.,Positive
dr1mp5c,dr1nk28,...what the fuck?,Negative
dr1mp5c,dr1nk7u,Lmao bruh,Positive
dr1mp5c,dr1nkyl,Uhh... Wut?,Positive
dr1mp5c,dr1nlnb,Sounds like a bit of a sore spot for you.,Negative
dr1mp5c,dr1nxqb,How did you get from hockey to hentai so fast?,Negative
dr1mp5c,dr1ojjx,"Don't tread on my hentai, government!!!!!",Negative
dr1k8jb,dr1o84a,"> the city should own 1/3 (or however much they invest) of the arena.

Yes, there is value to a city in having a place for major concerts and other events. You can't have a thriving major city without a proper large venue. Subsidizing a *team* makes little sense to me, but there's some sense in subsidizing an arena or stadium (depending on the specifics of the deal of course). ",Positive
dr1fwcg,dr1gea0,"all the major arenas were.

the argument is usually (note that this argument is BS):

it will stimulate the local economy!  You'd be a fool *not* to invest in it!",Positive
dr1fwcg,dr1gzn8,Yes but the city owns the stadium.,Positive
dr1fwcg,dr1gw1w,"This is always a tough one, I'm not for funding these arenas/stadiums 100% with public money but maybe up to 50%. The reason I say this is that we all want to live in an area that is thriving, we complain when our cities don't have the music scene, arts scene, and sports scene as others but we don't want to invest in it. The sad truth is American cities will be move than happy to relocate small market Canadian teams to Seattle, Houston, and even Hartford because the government there is happy to bring in that kind of attraction for their city, and while some of you will say let them leave if they can't afford the team take a look at Winnipeg, when the Jets left the Winnipeg didn't fit the mold for a big city, it was overlooked by businesses and it economy suffered, but now with the NHL back its a thriving city, new buildings, new attractions,  new sense of hope that it has become a ""have"" city. We even intend to leave the GTA for Winnipeg in the next few years.",Positive
dr1j7n8,dr1k81f,"The problem i see with the 1/3 taxpayers,1/3 tickets... is that the 1/3 tickets is still the taxpayers. Pay to build the arena and pay to enter the arena. So pretty much they take the taxes I paid, to build an arena, to get me to come to the arena, to refill the tax coffers that I paid in the first place. They want a new team, 100% of it should come from the team and the league. If people want to donate money for an arena that's fine. Taking tax money for something I don't find a necessity is wrong. If there is tax money for an arena then why the fuck has my road not been plowed in over a month. #BetterShitToSpendMoneyOn",Positive
dr1j7n8,dr1m4f2,"Even that I think is too generous. I really don’t see why in a market like Calgary where the fans are virtually guaranteed, public money that could otherwise go to schools, roads, the library, or transit, should be going to (or subsidizing) the Flames. I’d rather have pristine streets, great schools, and frequent support of smaller arts and cultural festivals than a huge arena with fancier screens and better acoustics.",Positive
dr1j7n8,dr1m4pg,"The unspoken part of this is the Olympics. If Calgary's bid is successful, and there's no reason to think it won't be, then they'll get an infusion of something like $700 million from the IOC. That changes everything for this facility. They'll add another couple hundred million to their other venues and athlete housing (some of which will get back) and then put whatever's left in Winsport to make it one of the best funded athlete development programs on the planet.",Positive
dr1mj36,dr1n4g2,"I guess it really depends where you are.  I am in BC and although ticket prices to a Canucks game are much lower then they were a few years ago your still looking at around $80 per ticket according to the website I am currently looking at.  

When they were doing good, it was often $200+ a ticket even for nosebleeds.  

I can remember watching plenty of news stories that showed how you could fly to the US and take in a game with the Canucks at LA or another city for cheaper then it would be to go to a game at home.  ",Negative
dr1mj36,dr1o7ks,I have never seen an NHL game go for anywhere near that cheap. ,Negative
dr1nw6o,dr1nzm1,Nah.  Sell more weed.  ,Positive
dr1moft,dr1n1cm,"Yeah, but then you are in nosebleed seats with binoculars. Might as well watch it from home at that point imo.",Positive
dr1mo6u,dr1n2lz,I thought /s was meant for sarcasm.,Negative
dr1n2jy,dr1nxlt,"What? That's not what he was implying at all. Tickets and concessions shouldn't be so expensive, and as a result, players AND higher ups should be paid less. ",Positive
dr1n2jy,dr1ok18,"Bring it back to a game, charge less for everything, mwke so everyone can enjoy, not just rich people. I used to watch the Sudbury wolves growing up, it was cheap my whole family could go and enjoy the afternoon. Nhl should be more that level. ",Positive
dr1fjcd,dr1fn7l,*Shrugs back*,Negative
dr1k110,dr1noxq,Not. Yet.,Negative
dr1jyzf,dr1mkdl,Big if true!,Positive
dr1m9i3,dr1mut6,"I'm not sure how it works with soccer, but no team in North America could ever become good enough to compete in the NHL without access to the draft.",Negative
dr1m9i3,dr1o3gk,Only in cities that allow it. The Canucks' arena was privately built.,Negative
dr1kjxz,dr1kms9,"lol. Maybe one or two, but the vast majority make a tonne of money and are effective at hiding it.",Positive
dr1kjxz,dr1lsll,"Alot of the time they are very profitable. Sure not anytime, but it's still a decent investment ",Positive
dr1l7r9,dr1m8hh,Really tickles the noodle. ,Negative
dr1lcr5,dr1ltqm,You can’t be serious. ,Positive
dr1nxqb,dr1om87,Two monitors.,Positive
dr1gea0,dr1iedv,"> You'd be a fool not to invest in it!

Isn't that what scam artists always say? ",Positive
dr1gea0,dr1iwxx,Im pretty sure Molson Centre in Montreal and the ACC were privately funded. ,Positive
dr1gea0,dr1lnwf,"The book Soccernomics by Simon Kuper actually has a great arguement against using public money for funding pro sports. He proved using historical data that every promise of stimulating the local economy by building a stadium has been false or grossely overstated. Pro sports are amazing but funding for public infrastructure or any numerous other government priorities is much much more important. (Sorry for the shallow comment, am watching the derby)",Positive
dr1gea0,dr1jk0i,"The area immediately around Rogers Place has seen tremendous development since the arena was built, including upscale hotels and multi-million dollar condos. Many of the local businesses around the arena are also booming. If the Oilers are playing at home it's standing room only at the bars across the street. Inside the same building as the arena is a casino.

You're crazy if you don't think that stimulates the local economy.",Negative
dr1gea0,dr1n5s1,"Downtown Edmonton has definitely become the hottest nightspot in all of Alberta. Our revitalized ICE District, who's name certainly was picked by someone's child, boasts a chain restaurant density off the charts, and it's all in an easy to drive to location!",Positive
dr1gw1w,dr1h9wd,I think the economy was hurting more reasons then because the Jets left.,Negative
dr1gw1w,dr1h0oc,That's why cities should just own the teams.,Positive
dr1m4f2,dr1o3xp,Because something something concerts apparently /s,Negative
dr1m4f2,dr1o84i,"> I’d rather have pristine streets, great schools, and frequent support of smaller arts and cultural festivals than a huge arena with fancier screens and better acoustics.

I agree with everything you said but there is one consideration to make.  And that's the team leaving, and your local economy taking a hit because of that.  It's not fair that the City has to consider that, but I'm sure they do.  So they probably just look at it from a perspective of loss vs gain and see what is best.",Positive
dr1m4pg,dr1ofbv,"I'm lazy but when is the bid for? And wouldn't that be a better angle for the Flames to work? IOC money, Federal money, municipal money, it'd be a cash cow.",Positive
dr1n4g2,dr1nkh2,"> your still looking at around $80 per ticket according to the website I am currently looking at.

That may be for a team that's a big draw (like the Leafs), but there's lots of cheap ($20-30) tix for the average 'Nucks game in the secondary market. ",Positive
dr1fn7l,dr1hvx2,*cracks open beer*,Negative
dr1mut6,dr1o9xk,"Unless, of course, there *was no draft*.

That's a nightmare for competitiveness over the long term but hey, agreements can be made or penalties levied for successes or whatever.",Positive
dr1lsll,dr1lsqa,">. . . ¿ alot ? . . . 

I THINK YOU MEANT **a lot**





^^I ^^AM ^^A ^^BOT^^^beep^boop!",Positive
dr1ltqm,dr1oor2,"After Vegas getting a team, anything is possible. I'm not a geologist or a sports expert... but a hockey team in the middle of the fucking desert?",Positive
dr1iedv,dr1j6zn,Did you say Monorail?,Positive
dr1iwxx,dr1j2ly,Canadian Tire Centre was as well.,Negative
dr1jk0i,dr1jy0f,"True. I work downtown and live 3Km away and have seen a noticeable impact on the downtown core. Game nights, or anytime there's an event at Rogers (which seems to be like 4 or 5 days/week) there's so much more activity. The Edmonton arena seemed to be an exception and was right place/right time.  That being said though, I'm still not a fan of how the arena was funded. ",Negative
dr1jk0i,dr1n41h,"It's a bad argument., though. It presumes that if the Oilers weren't playing then nobody would be at any bars at all. There probably is *some* stimulus, as it's a city activity, and it's fun that it brings people together (if the team makes the playoffs... I won't make any Oilers jokes here...), but it's disingenuous to suggest that without the team everybody would be at home staring at the wall.",Positive
dr1jk0i,dr1o6mv,The same thing has happened with the Bell MTS Place (or whatever the hell it's called now) in Winnipeg and the return of the Jets. I left Winnipeg around 2012/2013 and recently spent a few months there before starting a masters and it's completely different from what I remember. Portage Place still sucks though.,Negative
dr1h9wd,dr1idod,"Obviously, but what he's saying is that because of the new arena it attracts new businesses.  A company is more inclined to set up shop in Winnipeg because it again has the big city feel with a professional sports franchise.  It isn't the only thing that attracts business, but it is an extra tick on the checklist that they are looking for. ",Negative
dr1h0oc,dr1mkpn,"Big leagues that are mostly privately owned will actively shut out publicly held teams, making them non-viable since they will have no opponents to play against. ",Negative
dr1hvx2,dr1i1bg,*turns on the hockey game*,Negative
dr1j6zn,dr1jqd0,https://imgur.com/23fxTjB,Positive
dr1j6zn,dr1jszr,"Well, sir, there's nothin' on Earth like a genuine bona-fide electrified six-car monorail! 
",Positive
dr1j2ly,dr1jf8j,Rogers Arena/GM Place too,Positive
dr1j2ly,dr1kwcm,"Hell, the CTC didn't just have to pay for the arena and land, the construction cost had to include the freeway off-ramp to get to it.",Negative
dr1n41h,dr1nisl,">It presumes that if the Oilers weren't playing then nobody would be at any bars at all

No it doesn't. I said it was ""standing room only"" when they are playing, which is true. Some places are at maximum capacity and cannot let more people come in until others leave. I didn't say that the bars were completely devoid of any and all patronage when the Oilers aren't playing. You made that assumption.

>but it's disingenuous to suggest that without the team everybody would be at home staring at the wall.

It's a good thing I never made that suggestion.
",Negative
dr1n41h,dr1ogfm,"Winnipeg's downtown has seen a huge turnaround with all sorts of new bars, restaurants, hotels and condos and it's entirely because of the Jets.

>it's disengenous to suggest that without the team everybody would be at home staring at the wall

That's exactly what people did before the Jets. We watched other teams playing on tv at home. We didn't go to bars and restaurants to watch other teams play. And we certainly NEVER went downtown.

There is no denying that an NHL team brings huge economic development to an area.",Positive
dr1mkpn,dr1n3gr,"The Green Bay Packers are publicly owned, aren't they? They seem to be doing perfectly fine.",Positive
dr1i1bg,dr1l4bt,That's how,Positive
dr1i1bg,dr1l95p,*Happily pays taxes to support said hockey game.*,Negative
dr1jszr,dr1mwv5,I hear those things are awfully loud.,Positive
dr1kwcm,dr1onvr,"If I'm not mistaken, that's the only privately funded turnpike in Ontario",Positive
dr1n3gr,dr1nqzs,"They've been grandfathered into the NFL. I think the current rule is that any given team isn't allowed to have more than 32 'owners'. This is to prevent publicly owned teams which have lower costs due to no profit taking over running established owners investments and profitability.  Old fashioned protectionism basically.

• Mid-1980s: League institutes new percentage requirement for a lead owner, requiring that the general partner own at least 30 percent of the team. The requirement previously had been 51 percent.

• 2004: Responding to high team valuations, NFL lowers the required percentage for the general partner to 20 percent for teams that had been owned at least 10 years by the same family, though another 10 percent must be controlled by other family members.

• October 2009: With estate planning in mind, league lowers the threshold to 10 percent, with at least 20 percent having to be controlled by other family members. The new rule only is triggered by an active succession plan and is eligible only for existing owners. New owners will have to wait a decade before becoming eligible.",Negative
dr1l95p,dr1n0tr,How about they support themselves with all the money they're making.,Positive
